AMD
AAPL
AMAT
BBRY
CSCO
CMCSA
EBAY
FB
FTR
GILD
INTC
JD
JBLU
LULU
MU
MSFT
MOMO
MYL
NFLX
NVDA
QQQ
QCOM
SBUX
XIV
ATVI
AKTX
AMZN
AAL
CARA
HIMX
HBAN
OCLR
STX
FOXA
WDC
ZION
CSX
FITB
TLT
ON
SIRI
TXN
TVIX
WFM
YHOO
ADBE
CY
ESRX
FSLR
MRVL
VIAB
AKAM
AMGN
CDNS
PTEN
SYMC
TSLA
CELG
EXEL
EXPE
GPOR
PYPL
VOD
BIDU
MCHP
PBCT
SPLS
URBN
XLNX
CTRP
DISCA
MDLZ
ETFC
ENDP
INTU
MAR
ROST
AUPH
AVGO
DLTR
DRYS
FNSR
HZNP
INCY
NTAP
PAAS
TMUS
WBA
ADI
BRCD
CENX
CTSH
FEYE
LBTYK
STLD
TROW
ARRY
BIIB
COST
NXPI
GT
VRTX
SFM
TRIP
CRZO
GRPN
LKQ
ODP
MAT
AMTD
BBBY
DISH
HDS
PAYX
RCII
BIVV
EA
LBTYA
AAOI
ATHX
CTSO
SLM
FOX
ALXN
CME
TQQQ
WYNN
KHC
AFSI
HOLX
MXIM
WIN
DEPO
UMPQ
AMKR
ERIC
IRWD
NWSA
PVTB
SGYP
ADP
CERN
EXTR
MPEL
BLRX
GOOG
BLDR
DISCK
SQQQ
MNST
FAST
ACWI
VIAV
ALKS
BOFI
NAVI
LJPC
EXAS
PCAR
PTCT
ARRS
FTNT
ISBC
ZNGA
FMBI
NUAN
TSCO
WETF
CA
HTGM
LRCX
COMM
DCTH
NVAX
WEN
GOOGL
AOBC
CAR
CTXS
GBT
IMMU
NKTR
FOLD
TRMB
ANTH
ADSK
ETSY
PTC
SHLD
INFO
CLVS
FANG
IIVI
SRPT
FINL
DNKN
FIVE
GLNG
IONS
BMRN
SWKS
AKRX
GIII
OPK
PENN
SNH
BPMC
GLUU
QVCA
PDCE
IBB
GNTX
INCR
AINV
TTWO
ACIA
ASNA
NTNX
QRVO
ACAD
CONE
LITE
ILG
JUNO
SGMS
SHPG
USLV
AGNC
SPWR
GPRO
HAS
NTRS
BGCP
TRUE
WOOF
BLMN
PDLI
CHKP
MEOH
MEET
MDCO
CBOE
CHTR
CSIQ
HALO
ARCC
FRAN
SABR
KITE
KLAC
ESPR
MCHI
ORLY
SBAC
XRAY
GOGO
SSRI
HQY
INFN
PTI
MIK
CLDX
PLAY
SPLK
UTHR
DOX
GLPI
REGN
NBIX
RRD
KTOS
PLSE
SNI
VRSK
IDTI
NCLH
PGNX
CNAT
LAUR
NDAQ
ATRS
OZRK
CRBP
EQIX
NTES
PPHM
MYGN
AMRN
BRKS
EWBC
KERX
PRGS
WMGI
CHRW
CDW
ENTG
FRED
FUEL
RUN
MDRX
MASI
RGLD
WTFC
FISV
INVA
ACHC
ALNY
AMBA
AKAO
CORT
XOG
SCSS
SBGI
QGEN
ORIG
PULM
ANY
SAVE
OLED
YNDX
ILMN
OSUR
BCRX
LXRX
LBRDK
ROIC
UCTT
BUFF
ELGX
IRDM
SONC
TASR
IBKC
NLNK
PLUG
ACHN
LILAK
ALGN
HOMB
PNRA
PDCO
WB
LIVN
OTEX
VCSH
CAVM
CDEV
GLBL
TSRO
UNFI
WIX
TTMI
AEIS
LTRPA
OLLI
SSYS
JBHT
SRCL
CERS
CYTR
FLEX
FOSL
OMER
HAIN
TRVG
UNIT
TWOU
FPRX
ONB
TGTX
BEAV
CREE
RIGL
TXRH
VRAY
SGMO
IPXL
PACW
XPER
SNAK
TTPH
Z
ACOR
ARGS
EXPD
KTWO
PZZA
RARE
PCRX
PRTK
SEIC
ZIOP
ACIW
FIVN
SCZ
PPC
TCBI
WLTW
DRIO
FFIV
LAMR
MACK
PEIX
BPOP
HMSY
NUVA
SIMO
DVAX
IBKR
PSEC
LOPE
PRXL
PRAH
SWIR
AZPN
CRTO
GRFS
MNKD
PACB
BCOR
MSCC
SNPS
TNXP
ICHR
MRNS
SAGE
SORL
YY
BMCH
CRUS
EDIT
INO
PTLA
ZSAN
CZR
HBHC
HOLI
BRKR
WATT
IDXX
BGFV
FULT
IDRA
KEYW
AGEN
BWLD
CACC
TWNK
INAP
MANH
SPPI
STMP
UBSI
CLNE
IMGN
NATI
KLIC
UBNT
HAWK
IMOS
MDXG
VRSN
BSFT
HSKA
SSNC
VCIT
AMCX
GALE
LOGM
MTSI
MGNX
UCBI
ALQA
GOLD
GCVRZ
CALA
CDK
GRMN
IART
OVAS
SYNA
EGHT
CINF
JAZZ
AMBC
ANGO
CGNX
GSM
HA
MTCH
RRR
CTAS
PFPT
ZAGG
ICON
IRBT
ASML
CROX
MITL
ONVO
